,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 01:18:04,0,2,6,2111,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,79946,109.00,107.00,-7.25,0.00,0.00
1,2000-01-01 01:29:21,0,2,6,2449,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,758172,108.00,107.00,-7.50,0.00,0.00
2,2000-01-01 01:35:52,0,2,6,2644,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,1149500,110.00,107.00,-7.25,0.00,0.00
3,2000-01-01 01:52:22,0,2,6,3138,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,2140791,111.00,107.00,-7.25,0.00,0.00
4,2000-01-01 02:18:26,0,2,6,3918,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,3706111,110.00,107.00,-7.75,0.00,0.00
5,2000-01-01 02:36:14,0,2,6,4451,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,480587,110.00,107.00,-7.25,0.00,0.00
6,2000-01-01 03:47:04,0,2,6,6570,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,572569,111.00,107.00,-7.50,0.00,0.00
7,2000-01-01 04:20:59,0,2,6,7584,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,2607641,109.00,107.00,-7.75,0.00,0.00
8,2000-01-01 04:33:09,0,2,6,7948,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,3338139,110.00,107.00,-7.50,0.00,0.00
9,2000-01-01 05:18:22,0,2,6,9300,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,1756481,108.00,107.00,-7.50,0.00,0.00
10,2000-01-01 05:30:33,0,2,6,9664,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,2487049,111.00,107.00,-7.50,0.00,0.00
11,2000-01-01 05:34:01,0,2,6,9768,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,2695791,111.00,107.00,-7.75,0.00,0.00
12,2000-01-01 05:43:35,0,2,6,10054,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,3269776,108.00,107.00,-7.50,0.00,0.00
13,2000-01-01 05:53:35,0,2,6,10353,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,3869915,108.00,107.00,-7.75,0.00,0.00
14,2000-01-01 06:00:06,0,2,6,10548,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,4261298,110.00,107.00,-7.50,0.00,0.00
15,2000-01-01 07:23:57,0,2,6,13057,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,841433,110.00,107.00,-7.75,0.00,0.00
16,2000-01-01 08:43:55,0,2,6,15449,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,1347426,108.00,107.00,-7.50,0.00,0.00
17,2000-01-01 09:35:37,0,2,6,16996,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,157250,110.00,107.00,-7.75,0.00,0.00
18,2000-01-01 10:07:46,0,2,6,17958,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,2087993,108.00,107.00,-7.50,0.00,0.00
19,2000-01-01 10:45:09,0,2,6,19076,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,36993,109.00,107.00,-7.25,0.00,0.00
20,2000-01-01 11:37:15,0,2,6,20636,5,7,10,1,1,0,18,0x00,1998688000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,4,3168030,108.00,107.00,-7.25,0.00,0.00
